id,city_name,signup_os,signup_channel,signup_date,bgc_date,vehicle_added_date,vehicle_make,vehicle_model,vehicle_year,first_completed_date
85,Strark,mac,Organic,1/7/16,1/14/16,1/15/16,Honda,CR-V,2007.0,1/15/16
86,Berton,android web,Referral,1/25/16,1/28/16,,,,,
87,Strark,mac,Organic,1/22/16,1/24/16,,,,,
88,Berton,mac,Referral,1/13/16,1/26/16,,,,,
89,Strark,android web,Organic,1/4/16,1/23/16,,,,,
90,Strark,android web,Paid,1/18/16,,,,,,
91,Strark,,Referral,1/24/16,2/6/16,,,,,
92,Strark,ios web,Organic,1/14/16,1/14/16,1/14/16,Lexus,CT,2013.0,1/17/16
93,Berton,android web,Paid,1/20/16,1/20/16,,,,,
94,Berton,ios web,Referral,1/4/16,1/7/16,1/10/16,GMC,Terrain,2015.0,1/10/16
95,Berton,ios web,Paid,1/5/16,2/4/16,2/19/16,Pontiac,G6,2008.0,
96,Strark,other,Paid,1/17/16,,,,,,
97,Wrouver,mac,Organic,1/15/16,1/25/16,1/26/16,Honda,Civic Hybrid,2008.0,1/30/16
98,Strark,ios web,Paid,1/16/16,1/18/16,,,,,
99,Strark,android web,Organic,1/18/16,1/21/16,,,,,
100,Wrouver,other,Paid,1/28/16,2/1/16,,,,,
101,Berton,mac,Paid,1/11/16,2/11/16,,,,,
102,Berton,android web,Paid,1/24/16,,,,,,
103,Strark,,Organic,1/27/16,,,,,,
104,Strark,mac,Paid,1/19/16,,,,,,
105,Berton,,Organic,1/16/16,2/3/16,,,,,2/3/16
106,Strark,android web,Referral,1/25/16,1/31/16,,,,,
107,Strark,android web,Paid,1/18/16,1/18/16,,,,,
108,Strark,mac,Paid,1/28/16,,,Honda,Accord,2016.0,
109,Strark,android web,Referral,1/14/16,1/18/16,,,,,
110,Berton,other,Paid,1/10/16,1/10/16,1/12/16,Nissan,Versa,2011.0,1/13/16
111,Berton,,Organic,1/25/16,,,,,,
112,Strark,mac,Organic,1/8/16,1/14/16,2/1/16,Toyota,Prius,2005.0,
113,Berton,,Referral,1/6/16,1/10/16,,,,,
114,Strark,ios web,Organic,1/23/16,1/23/16,1/23/16,Honda,Odyssey,2014.0,1/26/16
115,Berton,ios web,Paid,1/8/16,,,,,,
116,Wrouver,ios web,Paid,1/21/16,2/11/16,,,,,
117,Strark,ios web,Paid,1/8/16,2/9/16,,,,,
118,Berton,android web,Organic,1/13/16,2/9/16,,,,,
119,Berton,ios web,Referral,1/11/16,1/15/16,1/15/16,Honda,CR-V,2014.0,1/17/16
120,Strark,,Referral,1/8/16,2/5/16,,,,,
121,Strark,android web,Paid,1/20/16,,,,,,
122,Berton,windows,Paid,1/1/16,1/17/16,,,,,
123,Strark,android web,Paid,1/13/16,1/15/16,1/16/16,Jeep,Grand Cherokee,2014.0,2/11/16
124,Strark,other,Organic,1/25/16,1/25/16,,,,,
125,Strark,ios web,Paid,1/29/16,2/17/16,2/17/16,Toyota,Prius,2015.0,2/22/16
126,Strark,ios web,Referral,1/11/16,1/22/16,,,,,
127,Berton,ios web,Referral,1/7/16,,2/20/16,Toyota,Corolla,2016.0,
128,Berton,ios web,Organic,1/4/16,1/6/16,1/8/16,Honda,Odyssey,2008.0,1/10/16
129,Berton,ios web,Paid,1/25/16,1/27/16,,,,,2/16/16
130,Strark,,Referral,1/6/16,,,,,,
131,Strark,ios web,Paid,1/30/16,1/31/16,,,,,
132,Strark,ios web,Referral,1/24/16,2/2/16,,,,,
133,Berton,ios web,Paid,1/5/16,1/23/16,1/25/16,Volkswagen,GTI,2007.0,
134,Strark,ios web,Organic,1/12/16,1/16/16,2/23/16,Honda,Civic,2012.0,
135,Berton,ios web,Paid,1/8/16,,,,,,
136,Strark,android web,Referral,1/4/16,1/27/16,,,,,
137,Berton,windows,Organic,1/6/16,2/7/16,,,,,
138,Strark,ios web,Referral,1/19/16,1/22/16,1/24/16,Nissan,Versa,2014.0,2/5/16
139,Berton,ios web,Organic,1/3/16,1/10/16,,,,,
140,Berton,ios web,Paid,1/23/16,1/30/16,2/4/16,Kia,Optima,2014.0,
141,Strark,ios web,Paid,1/8/16,1/27/16,,,,,
142,Berton,,Referral,1/30/16,2/1/16,,,,,
143,Berton,android web,Paid,1/22/16,2/15/16,,,,,
144,Berton,ios web,Organic,1/5/16,2/3/16,2/15/16,Ford,F-150,2001.0,
145,Berton,ios web,Paid,1/28/16,2/22/16,,,,,
146,Wrouver,other,Referral,1/11/16,1/24/16,,,,,
147,Strark,windows,Referral,1/7/16,1/13/16,1/25/16,Audi,A4,2015.0,1/28/16
148,Strark,,Referral,1/4/16,,,,,,
149,Strark,windows,Organic,1/3/16,1/3/16,2/3/16,Honda,Insight Hybrid,2010.0,
150,Strark,android web,Organic,1/30/16,2/6/16,2/15/16,Hyundai,Elantra,2014.0,
151,Berton,mac,Referral,1/5/16,1/9/16,,,,,
152,Berton,,Referral,1/1/16,,,,,,
153,Strark,ios web,Paid,1/22/16,2/10/16,,,,,
154,Berton,android web,Referral,1/12/16,1/21/16,,,,,
155,Berton,other,Organic,1/12/16,1/18/16,,,,,
156,Berton,mac,Organic,1/26/16,1/26/16,1/28/16,Acura,RDX,2015.0,1/28/16
157,Berton,mac,Paid,1/2/16,,,,,,
158,Berton,android web,Paid,1/9/16,2/21/16,2/21/16,Toyota,Camry,2016.0,
159,Strark,android web,Paid,1/14/16,1/19/16,,,,,
160,Berton,android web,Organic,1/26/16,1/28/16,,,,,
161,Strark,android web,Paid,1/20/16,2/3/16,,,,,
162,Strark,ios web,Referral,1/4/16,1/4/16,1/11/16,Nissan,Sentra,2015.0,1/11/16
163,Berton,windows,Paid,1/10/16,1/12/16,,,,,
164,Wrouver,other,Paid,1/22/16,2/22/16,,,,,
165,Strark,mac,Organic,1/27/16,2/3/16,,,,,
166,Berton,other,Referral,1/29/16,1/29/16,1/29/16,Chevrolet,Malibu,2015.0,1/29/16
167,Berton,other,Paid,1/23/16,2/10/16,,,,,
168,Strark,windows,Paid,1/2/16,1/2/16,1/4/16,Kia,Soul,2011.0,1/11/16
169,Strark,windows,Organic,1/21/16,1/31/16,,,,,
170,Strark,mac,Referral,1/27/16,2/9/16,2/12/16,Honda,Civic,2015.0,
171,Berton,ios web,Referral,1/21/16,1/22/16,2/2/16,Nissan,Altima,2008.0,2/1/16
172,Berton,,Referral,1/7/16,1/7/16,2/3/16,Jeep,Grand Cherokee,2006.0,
173,Berton,android web,Paid,1/17/16,1/20/16,2/2/16,Dodge,Journey,2009.0,
174,Berton,,Organic,1/29/16,,,,,,
175,Berton,ios web,Referral,1/6/16,1/6/16,1/9/16,Jeep,Compass,2011.0,1/11/16
176,Strark,other,Organic,1/25/16,1/25/16,1/28/16,BMW,3-series,2012.0,1/27/16
177,Strark,windows,Paid,1/21/16,1/26/16,1/27/16,Infiniti,G Sedan,2012.0,1/28/16
178,Berton,ios web,Referral,1/29/16,2/7/16,,,,,
179,Berton,ios web,Paid,1/16/16,2/1/16,2/29/16,Chevrolet,Cruze,2012.0,
180,Berton,mac,Paid,1/14/16,1/26/16,2/15/16,Subaru,Forester,2009.0,
181,Berton,windows,Referral,1/28/16,1/29/16,1/29/16,Honda,Civic,2012.0,
182,Strark,ios web,Referral,1/12/16,1/18/16,,,,,1/25/16
183,Strark,ios web,Paid,1/25/16,1/29/16,2/11/16,Honda,Odyssey,2014.0,2/13/16
184,Strark,android web,Referral,1/28/16,,,,,,
185,Strark,ios web,Referral,1/14/16,1/26/16,2/7/16,Buick,Century,2001.0,2/7/16
186,Strark,android web,Referral,1/2/16,1/19/16,1/20/16,Toyota,Camry,2016.0,
187,Strark,android web,Paid,1/27/16,1/27/16,1/28/16,Hyundai,Elantra,2016.0,2/22/16
188,Strark,ios web,Referral,1/11/16,1/28/16,,,,,
189,Strark,android web,Organic,1/9/16,1/22/16,1/27/16,Honda,Accord,2012.0,
190,Strark,android web,Referral,1/23/16,1/26/16,1/27/16,Kia,Optima,2004.0,2/20/16
191,Berton,windows,Paid,1/9/16,1/14/16,,,,,
192,Strark,windows,Paid,1/13/16,2/11/16,,,,,
193,Wrouver,ios web,Paid,1/15/16,,,,,,
194,Strark,android web,Referral,1/17/16,1/17/16,1/17/16,Mazda,MAZDA3,2016.0,1/27/16
195,Berton,ios web,Referral,1/9/16,1/9/16,1/10/16,Subaru,XV Crosstrek,2016.0,1/18/16
196,Strark,ios web,Organic,1/30/16,1/31/16,,,,,
197,Berton,ios web,Paid,1/8/16,,,,,,
198,Strark,android web,Referral,1/14/16,1/22/16,1/23/16,Dodge,Charger,2006.0,1/27/16
199,Strark,ios web,Paid,1/24/16,,,,,,
200,Strark,mac,Organic,1/5/16,1/7/16,1/8/16,Kia,Optima,2012.0,1/10/16
201,Strark,android web,Paid,1/13/16,1/14/16,1/14/16,Ford,Flex,2010.0,1/21/16
202,Berton,android web,Referral,1/8/16,1/11/16,1/23/16,BMW,7-series,2008.0,
203,Berton,android web,Paid,1/10/16,1/14/16,,,,,
204,Strark,android web,Paid,1/11/16,1/25/16,2/15/16,Toyota,Corolla,2016.0,
205,Strark,,Referral,1/20/16,1/26/16,2/5/16,Toyota,RAV4,2015.0,
206,Strark,android web,Organic,1/13/16,1/24/16,2/4/16,Dodge,Charger,2014.0,2/8/16
207,Wrouver,ios web,Paid,1/7/16,,,,,,
208,Strark,android web,Organic,1/17/16,2/4/16,,,,,
209,Berton,android web,Referral,1/29/16,1/29/16,2/1/16,Chevrolet,Traverse,2011.0,1/31/16
210,Strark,,Referral,1/10/16,2/15/16,,,,,
211,Berton,ios web,Organic,1/17/16,,,,,,
212,Strark,ios web,Paid,1/6/16,1/14/16,,,,,
213,Strark,android web,Paid,1/16/16,,,,,,
214,Strark,,Referral,1/6/16,,,,,,
215,Strark,android web,Referral,1/8/16,1/12/16,,,,,
216,Berton,ios web,Paid,1/21/16,2/4/16,2/13/16,Dodge,Avenger,2009.0,
217,Berton,ios web,Referral,1/20/16,1/20/16,1/23/16,Volkswagen,Jetta,2002.0,1/31/16
218,Strark,,Organic,1/22/16,,,,,,
219,Berton,windows,Paid,1/4/16,,,,,,
220,Berton,android web,Paid,1/20/16,1/27/16,,,,,
221,Berton,android web,Paid,1/29/16,2/6/16,2/6/16,Honda,Civic,2007.0,
222,Strark,ios web,Paid,1/21/16,,,,,,
223,Strark,,Referral,1/11/16,,,,,,
224,Strark,android web,Organic,1/10/16,2/10/16,2/28/16,Ford,Expedition,2005.0,
225,Wrouver,windows,Paid,1/24/16,,,,,,
226,Berton,android web,Paid,1/29/16,2/12/16,,,,,
227,Strark,android web,Paid,1/13/16,1/21/16,2/8/16,Nissan,Sentra,2006.0,
228,Strark,android web,Paid,1/8/16,,,,,,
229,Strark,,Referral,1/3/16,,,,,,
230,Berton,android web,Paid,1/26/16,2/23/16,,,,,
231,Berton,ios web,Referral,1/22/16,1/29/16,1/30/16,Lexus,ES,2007.0,
232,Strark,android web,Referral,1/15/16,1/15/16,1/17/16,Audi,A4,2009.0,1/22/16
233,Berton,ios web,Organic,1/9/16,1/12/16,2/23/16,Honda,Civic,2011.0,
234,Strark,,Referral,1/20/16,1/26/16,,,,,
235,Strark,android web,Referral,1/10/16,1/11/16,1/12/16,Nissan,Sentra,2011.0,
236,Strark,,Referral,1/5/16,,,,,,
237,Berton,android web,Organic,1/4/16,1/4/16,,,,,
238,Strark,other,Paid,1/22/16,,,,,,
239,Wrouver,mac,Organic,1/24/16,2/12/16,,,,,
240,Berton,ios web,Referral,1/22/16,1/27/16,2/5/16,Honda,Civic,2015.0,
241,Berton,ios web,Paid,1/30/16,2/6/16,,,,,
242,Berton,,Organic,1/29/16,1/29/16,,,,,
243,Strark,mac,Referral,1/5/16,1/28/16,1/28/16,Lexus,IS,2008.0,
244,Berton,windows,Referral,1/21/16,1/21/16,1/24/16,Toyota,Prius,2014.0,1/27/16
245,Berton,ios web,Referral,1/2/16,1/13/16,1/24/16,Chrysler,Town and Country,2012.0,2/1/16
246,Strark,,Organic,1/12/16,,,,,,
247,Berton,mac,Referral,1/12/16,,,,,,
248,Strark,android web,Referral,1/1/16,1/1/16,,,,,
249,Strark,android web,Organic,1/9/16,1/21/16,,,,,
250,Berton,,Referral,1/3/16,,,,,,
251,Berton,mac,Paid,1/1/16,1/5/16,1/22/16,Toyota,Sienna,2001.0,
252,Strark,windows,Organic,1/10/16,,,,,,
253,Strark,ios web,Paid,1/19/16,,,,,,
254,Strark,ios web,Referral,1/25/16,1/25/16,1/27/16,Scion,iM,2016.0,1/27/16
255,Strark,,Organic,1/28/16,,,,,,
256,Wrouver,android web,Paid,1/9/16,1/19/16,,,,,
257,Berton,other,Organic,1/3/16,1/8/16,1/7/16,Nissan,Sentra,2014.0,1/12/16
258,Strark,windows,Paid,1/2/16,1/16/16,,,,,
259,Berton,android web,Organic,1/28/16,1/28/16,,,,,
260,Berton,mac,Referral,1/28/16,2/6/16,2/13/16,Ford,Freestyle,2006.0,
261,Strark,android web,Paid,1/28/16,,,,,,
262,Strark,android web,Referral,1/30/16,2/17/16,,,,,
263,Strark,ios web,Organic,1/3/16,1/6/16,1/26/16,Toyota,RAV4,2014.0,
264,Berton,android web,Paid,1/14/16,1/21/16,1/27/16,Nissan,Versa,2014.0,2/5/16
265,Berton,other,Organic,1/14/16,1/17/16,,,,,
266,Wrouver,android web,Paid,1/1/16,,,,,,
267,Strark,windows,Paid,1/18/16,1/18/16,1/25/16,Nissan,Altima,2015.0,1/28/16
268,Strark,ios web,Paid,1/12/16,2/15/16,,,,,
269,Strark,,Paid,1/21/16,1/26/16,,,,,
270,Berton,android web,Paid,1/12/16,1/22/16,,,,,
271,Berton,windows,Paid,1/28/16,1/28/16,,,,,
272,Berton,other,Organic,1/26/16,1/26/16,,,,,
273,Berton,android web,Paid,1/20/16,1/22/16,,,,,
274,Strark,,Organic,1/15/16,1/23/16,1/27/16,Saturn,VUE,2003.0,
275,Strark,android web,Referral,1/6/16,1/20/16,2/20/16,Honda,Accord,2012.0,
276,Strark,other,Organic,1/17/16,1/18/16,,,,,
277,Strark,windows,Paid,1/9/16,1/30/16,,,,,
278,Strark,ios web,Paid,1/18/16,2/20/16,,,,,
279,Berton,ios web,Referral,1/8/16,1/20/16,,,,,
280,Berton,windows,Organic,1/19/16,1/25/16,2/6/16,Toyota,Avalon,2014.0,
281,Strark,mac,Paid,1/19/16,1/19/16,1/23/16,Toyota,Tacoma,2016.0,2/3/16
282,Strark,mac,Paid,1/21/16,,,,,,
283,Strark,android web,Organic,1/3/16,,,,,,
284,Strark,windows,Referral,1/18/16,2/7/16,2/25/16,Mazda,MAZDA6,2014.0,
285,Berton,ios web,Referral,1/1/16,1/18/16,,,,,
286,Berton,mac,Paid,1/27/16,,,,,,
287,Strark,android web,Referral,1/13/16,1/14/16,,,,,
288,Strark,android web,Referral,1/4/16,1/5/16,1/5/16,Lexus,IS,2007.0,1/5/16
289,Strark,,Organic,1/25/16,,,,,,
290,Strark,mac,Referral,1/5/16,1/8/16,,,,,
291,Strark,ios web,Organic,1/21/16,1/29/16,2/2/16,Dodge,Dart,2013.0,2/3/16
292,Strark,mac,Referral,1/7/16,1/10/16,,,,,
293,Strark,other,Paid,1/14/16,1/30/16,1/31/16,Kia,Soul,2014.0,2/1/16
294,Strark,ios web,Organic,1/25/16,2/5/16,2/11/16,Honda,Accord,2015.0,
295,Strark,android web,Paid,1/19/16,1/19/16,,,,,
296,Berton,ios web,Referral,1/27/16,,,,,,
297,Berton,ios web,Organic,1/25/16,,,,,,
298,Strark,ios web,Organic,1/18/16,1/20/16,1/24/16,Chevrolet,Suburban,2007.0,
299,Strark,,Referral,1/11/16,,,,,,
300,Strark,ios web,Referral,1/6/16,1/18/16,,,,,
301,Strark,other,Paid,1/6/16,,,,,,
302,Strark,android web,Organic,1/14/16,1/14/16,2/16/16,Honda,Odyssey,2005.0,
303,Berton,ios web,Paid,1/22/16,,,,,,
304,Wrouver,other,Organic,1/19/16,,,,,,
305,Strark,mac,Paid,1/5/16,1/12/16,2/1/16,Nissan,Xterra,2007.0,
306,Berton,ios web,Paid,1/4/16,1/8/16,,,,,
307,Berton,,Referral,1/11/16,,,,,,
308,Strark,android web,Referral,1/3/16,2/14/16,2/18/16,Dodge,Avenger,2012.0,
309,Strark,ios web,Referral,1/14/16,1/20/16,1/20/16,Honda,Civic,2014.0,1/20/16
310,Strark,android web,Referral,1/20/16,1/21/16,,,,,
311,Strark,android web,Referral,1/11/16,1/14/16,2/12/16,Kia,Forte,2017.0,
312,Strark,windows,Referral,1/5/16,1/17/16,1/20/16,Lexus,IS,2014.0,1/24/16
313,Strark,windows,Paid,1/23/16,1/30/16,1/30/16,Toyota,Highlander,2013.0,2/15/16
314,Strark,ios web,Referral,1/5/16,,,,,,
315,Strark,ios web,Paid,1/30/16,2/5/16,,,,,
316,Strark,,Referral,1/23/16,1/30/16,,,,,
317,Strark,windows,Paid,1/8/16,1/8/16,1/8/16,Hyundai,Santa Fe,2016.0,1/13/16
318,Berton,android web,Organic,1/3/16,2/18/16,2/29/16,Toyota,Camry,2014.0,
319,Strark,android web,Organic,1/2/16,,,,,,
320,Strark,other,Organic,1/11/16,1/11/16,,,,,
321,Berton,ios web,Paid,1/2/16,,,,,,
322,Strark,windows,Paid,1/27/16,1/27/16,,,,,
323,Strark,ios web,Paid,1/4/16,1/16/16,,,,,
324,Strark,windows,Paid,1/25/16,1/25/16,,,,,
325,Berton,ios web,Paid,1/29/16,,,,,,
326,Berton,,Referral,1/11/16,1/26/16,,,,,
327,Strark,android web,Referral,1/19/16,1/26/16,1/26/16,Nissan,Sentra,2014.0,1/30/16
328,Wrouver,,Organic,1/25/16,1/25/16,,,,,
329,Strark,android web,Paid,1/28/16,2/14/16,,,,,
330,Berton,ios web,Organic,1/13/16,2/4/16,,,,,
331,Strark,,Referral,1/6/16,1/8/16,,,,,
332,Berton,android web,Organic,1/2/16,1/8/16,1/8/16,BMW,3-series,2012.0,1/10/16
333,Strark,windows,Referral,1/8/16,,,,,,
334,Strark,ios web,Referral,1/5/16,1/29/16,,,,,
335,Berton,mac,Paid,1/13/16,2/15/16,,,,,
336,Berton,windows,Referral,1/15/16,2/14/16,,,,,
337,Berton,android web,Referral,1/23/16,1/25/16,2/28/16,Toyota,Prius V,2014.0,
338,Berton,mac,Referral,1/18/16,1/19/16,1/19/16,Ford,Focus,2013.0,1/23/16
339,Strark,android web,Referral,1/13/16,1/18/16,2/22/16,Honda,Accord,2016.0,
340,Wrouver,windows,Referral,1/6/16,,,,,,
341,Strark,,Organic,1/28/16,,,,,,
342,Wrouver,other,Paid,1/29/16,2/18/16,,,,,
343,Strark,ios web,Paid,1/18/16,,,,,,
344,Berton,android web,Paid,1/23/16,2/8/16,,,,,
345,Strark,ios web,Paid,1/27/16,,,,,,
346,Berton,ios web,Paid,1/8/16,1/31/16,2/12/16,Toyota,Sienna,2006.0,
347,Wrouver,,Organic,1/19/16,,,,,,
348,Strark,android web,Paid,1/5/16,1/7/16,,,,,
349,Berton,android web,Referral,1/22/16,1/22/16,1/25/16,Toyota,Prius,2013.0,
350,Strark,android web,Paid,1/25/16,,,,,,
351,Berton,android web,Paid,1/1/16,1/27/16,,,,,
352,Strark,ios web,Referral,1/18/16,2/2/16,,,,,
353,Berton,android web,Paid,1/1/16,1/1/16,,,,,
354,Strark,android web,Referral,1/5/16,1/9/16,,,,,
355,Berton,other,Organic,1/24/16,1/24/16,,,,,
356,Berton,mac,Paid,1/5/16,,,,,,
357,Strark,android web,Referral,1/12/16,1/16/16,,,,,
358,Strark,android web,Paid,1/4/16,1/5/16,,,,,
359,Strark,android web,Referral,1/2/16,1/21/16,,,,,
360,Berton,android web,Paid,1/21/16,1/22/16,,,,,
361,Berton,android web,Organic,1/2/16,,,,,,
362,Strark,ios web,Referral,1/30/16,,,,,,
363,Strark,windows,Organic,1/5/16,1/6/16,1/6/16,Infiniti,Q50,2014.0,1/7/16
364,Strark,other,Paid,1/11/16,1/20/16,1/26/16,Audi,A4,2008.0,
365,Strark,ios web,Referral,1/10/16,1/20/16,2/3/16,Toyota,Camry,2016.0,2/6/16
366,Strark,mac,Organic,1/17/16,1/17/16,,,,,
367,Berton,other,Paid,1/26/16,1/31/16,1/31/16,Honda,Accord,2015.0,
368,Strark,mac,Referral,1/24/16,1/31/16,,,,,
369,Berton,android web,Organic,1/25/16,1/27/16,,,,,
370,Berton,windows,Paid,1/16/16,2/4/16,,,,,
371,Berton,windows,Organic,1/19/16,1/19/16,1/19/16,Lexus,ES,2011.0,1/30/16
372,Strark,other,Paid,1/16/16,2/19/16,,,,,
373,Strark,android web,Referral,1/25/16,1/30/16,2/6/16,Subaru,Impreza,2004.0,
374,Berton,,Organic,1/29/16,2/1/16,,,,,
375,Strark,ios web,Referral,1/27/16,1/28/16,1/28/16,Scion,xB,2004.0,2/3/16
376,Berton,mac,Paid,1/16/16,2/15/16,2/19/16,Volkswagen,Jetta,2015.0,
377,Strark,,Organic,1/21/16,,,,,,
378,Berton,mac,Paid,1/7/16,,,,,,
379,Berton,ios web,Referral,1/6/16,1/7/16,1/12/16,Ford,Fiesta,2013.0,1/22/16
380,Berton,android web,Organic,1/4/16,1/4/16,,,,,
381,Berton,android web,Paid,1/27/16,2/3/16,,,,,
382,Strark,android web,Referral,1/27/16,1/30/16,2/11/16,Toyota,Prius V,2013.0,
383,Strark,windows,Referral,1/4/16,1/7/16,,,,,
384,Strark,ios web,Referral,1/10/16,1/18/16,1/26/16,Toyota,Camry,2014.0,
385,Wrouver,ios web,Referral,1/29/16,2/3/16,2/8/16,Volkswagen,Jetta,2014.0,2/12/16
386,Berton,windows,Organic,1/6/16,1/6/16,,,,,
387,Strark,ios web,Organic,1/2/16,1/26/16,,,,,
388,Strark,ios web,Referral,1/25/16,1/26/16,,,,,
389,Strark,android web,Paid,1/30/16,,,,,,
390,Strark,,Organic,1/29/16,,,,,,
391,Strark,windows,Organic,1/21/16,2/18/16,,,,,
392,Strark,,Organic,1/26/16,,,,,,
